age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Probability,name,balance,income,outflow_factor,outflow,Product,Email,Language,customer_since_years,Phone,Email_propensity,Call_propensity,Text_propensity
41,blue-collar,single,2,0,1,0,1,5,3,1,999,0,-999,-1.8,92.893,-46.2,1.334,5099.1,0.0785469836403942,Christopher Kim,52933,3171.7,0.3,951.51,CC003,christopher.kim@gmail.com,English,23.0,001-697-671-9385x5762,0.6,0.64,0.62
31,services,divorced,3,0,1,0,1,11,4,1,999,0,-999,-0.1,93.2,-42.0,4.076,5195.8,0.0625411761445325,Craig Simmons,7137,1336.35,0.9005262772115608,1203.42,L002,craig.simmons@hotmail.com,German,13.0,399-271-0923x9750,0.78,0.54,0.32
56,admin.,married,2,0,0,0,1,10,3,2,999,0,-999,-3.4,92.431,-26.9,0.742,5017.5,0.3393138524787233,Brian Thompson,15502,4040.31,0.4406165287761516,1780.23,L001,brian.thompson@gmail.com,French,30.0,+1-771-540-9841x146,0.82,0.65,0.66
32,blue-collar,single,5,0,0,0,0,6,3,1,999,0,-999,1.4,94.465,-41.8,4.864,5228.1,0.040010849359105,Rebecca Schmidt,193428,1507.48,0.711286119517993,1072.25,L001,rebecca.schmidt@gmail.com,English,14.0,001-586-680-8519x953,0.66,0.45,0.81
32,blue-collar,married,3,0,1,0,1,11,3,1,999,0,-999,-0.1,93.2,-42.0,4.12,5195.8,0.0564955817547511,Reginald Kennedy,148344,1109.09,1.2661335097132946,1404.26,L001,reginald.kennedy@yahoo.com,German,14.0,657.900.9725,0.94,0.44,0.89
36,admin.,single,5,0,1,0,1,8,2,1,999,0,-999,1.4,93.444,-36.1,4.963,5228.1,0.0617072220698823,Paul Thompson,118071,617.99,1.321426522132557,816.63,CC003,paul.thompson@yahoo.com,German,18.0,001-904-507-0438,0.59,0.45,0.37
45,management,married,-999,-999,0,0,1,7,1,3,999,0,-999,1.4,93.918,-42.7,4.96,5228.1,0.0587458147297945,Kenneth Singleton,134513,4692.56,0.8770584311181759,4115.65,L001,kenneth.singleton@yahoo.com,German,23.0,(859)714-9786,0.77,0.62,0.7
48,services,married,3,-999,0,0,1,7,2,1,999,0,-999,1.4,93.918,-42.7,4.961,5228.1,0.0596197138163756,Anita Rios,87686,944.81,0.3611606029701648,341.23,CC003,anita.rios@hotmail.com,English,26.0,973-541-6965x5152,0.62,0.66,0.57
54,admin.,married,2,0,1,1,1,11,1,2,999,0,-999,-0.1,93.2,-42.0,4.191,5195.8,0.0597346937111691,April Chavez,91692,1323.23,0.9459622024395564,1251.73,L002,april.chavez@yahoo.com,German,29.0,793-550-3246x63341,0.66,0.64,0.56
35,unemployed,single,1,-999,1,0,1,11,2,1,999,0,-999,-0.1,93.2,-42.0,4.153,5195.8,0.067383566037523,Robin Mayer,152403,4647.89,0.3,1394.37,CC003,robin.mayer@yahoo.com,German,17.0,+1-821-499-7476,0.56,0.43,0.32
45,technician,divorced,5,0,0,0,1,6,2,1,999,0,-999,-2.9,92.963,-40.8,1.099,5076.2,0.3253345835673411,Kathy Wang,118241,1227.44,0.3195864018921155,392.27,CC003,kathy.wang@yahoo.com,German,25.0,724-208-4066x5027,0.66,0.76,0.29
52,technician,married,2,0,1,0,1,11,2,1,999,0,-999,-0.1,93.2,-42.0,4.153,5195.8,0.0634619885328992,Garrett Daniel,117981,4320.44,0.44918115153436,1940.66,L002,garrett.daniel@yahoo.com,English,27.0,(389)709-7528x3938,0.69,0.47,0.31
47,management,divorced,5,0,0,0,0,11,2,1,999,0,-999,-0.1,93.2,-42.0,4.343,5195.8,0.0946453915287338,Jacqueline Stark,128478,1718.16,0.9182556744103264,1577.71,L001,jacqueline.stark@hotmail.com,English,24.0,001-837-642-1808x2837,0.74,0.6,0.2
34,technician,single,3,0,0,0,1,8,5,1,999,0,-999,1.4,93.444,-36.1,4.964,5228.1,0.0562283621125029,Troy York,18700,1486.63,1.0855512730810115,1613.81,L001,troy.york@hotmail.com,German,16.0,001-225-570-1816x74268,0.91,0.48,0.33
32,blue-collar,married,4,0,0,0,0,5,4,1,999,0,-999,1.1,93.994,-36.4,4.855,5191.0,0.0317407192887728,Jo Knox,78207,782.42,0.3,234.73,L002,jo.knox@gmail.com,German,14.0,(828)808-7864x20987,0.81,0.55,0.72
60,retired,married,5,0,0,0,1,8,3,2,999,0,-999,1.4,93.444,-36.1,4.964,5228.1,0.0892393803105209,Sarah Parker,130367,1260.43,1.3283729631281953,1674.32,L002,sarah.parker@gmail.com,English,33.0,274-446-3861x81125,0.7,0.53,0.76
22,student,single,-999,0,0,0,1,6,1,1,999,0,-999,-2.9,92.963,-40.8,1.26,5076.2,0.3887316583388836,Melissa Wilson,9408,2263.96,0.5275166943472188,1194.28,CC003,melissa.wilson@hotmail.com,English,4.0,357-700-4671x570,0.52,0.78,0.71
42,services,single,3,0,0,0,1,5,4,2,999,0,-999,-1.8,92.893,-46.2,1.327,5099.1,0.085217375139497,Stephanie Hernandez,107761,1808.11,0.4334285111072586,783.69,CC003,stephanie.hernandez@yahoo.com,German,24.0,531.870.6562,0.65,0.47,0.38
31,entrepreneur,married,4,0,1,0,0,6,5,2,999,0,-999,1.4,94.465,-41.8,4.959,5228.1,0.0424149675668301,Christopher Cunningham,116684,4747.09,0.572742977424183,2718.86,CC003,christopher.cunningham@yahoo.com,English,13.0,566-901-5393x285,0.87,0.68,0.42
33,self-employed,married,5,0,1,0,1,7,3,2,999,0,-999,1.4,93.918,-42.7,4.962,5228.1,0.065394389620723,Sandra Alexander,126048,832.65,1.1507171064166133,958.14,L001,sandra.alexander@gmail.com,German,15.0,001-381-929-2882x62584,0.8,0.48,0.67
